race_index,true_order,perm_probs,match_index,_tuple0,key0,key1,race_key,odds
10800,"[4, 3, 0]","[((4, 1, 3), 0.039916299283504486), ((4, 3, 1), 0.03806436061859131), ((4, 1, 2), 0.03805093839764595), ((4, 2, 1), 0.0358041375875473), ((4, 1, 0), 0.03444915637373924)]",9,"(4, 3, 0)",4-3-0,5-4-1,若松_20250424_3,211.5
10920,"[4, 3, 2]","[((0, 3, 1), 0.06880967319011688), ((0, 3, 4), 0.06371813267469406), ((0, 1, 3), 0.05215435102581978), ((0, 4, 3), 0.04738430306315422), ((0, 3, 2), 0.04733598977327347)]",68,"(4, 3, 2)",4-3-2,5-4-3,若松_20250517_5,333.5
11040,"[3, 0, 2]","[((0, 2, 3), 0.3029979467391968), ((2, 0, 3), 0.17224480211734772), ((0, 3, 2), 0.14898963272571564), ((3, 0, 2), 0.07015354186296463), ((2, 3, 0), 0.041152261197566986)]",4,"(3, 0, 2)",3-0-2,4-1-3,若松_20250517_6,20.3
11160,"[4, 3, 5]","[((1, 2, 3), 0.05392108112573624), ((1, 3, 2), 0.05123037099838257), ((1, 2, 5), 0.039619773626327515), ((2, 1, 3), 0.03643086925148964), ((1, 2, 0), 0.03529620170593262)]",109,"(4, 3, 5)",4-3-5,5-4-6,若松_20250517_7,311.5
11280,"[0, 3, 1]","[((0, 2, 1), 0.26377394795417786), ((0, 1, 2), 0.19333600997924805), ((2, 0, 1), 0.085978202521801), ((0, 2, 3), 0.07481326907873154), ((1, 0, 2), 0.05960186943411827)]",8,"(0, 3, 1)",0-3-1,1-4-2,若松_20250421_8,9.4
11400,"[2, 0, 5]","[((2, 0, 1), 0.1514226645231247), ((2, 0, 3), 0.14484244585037231), ((2, 0, 5), 0.13085371255874634), ((2, 1, 0), 0.0814368724822998), ((2, 3, 0), 0.07730890065431595)]",3,"(2, 0, 5)",2-0-5,3-1-6,若松_20250425_7,13.5
11520,"[3, 0, 2]","[((3, 0, 2), 0.4121359586715698), ((3, 2, 0), 0.18482860922813416), ((0, 3, 2), 0.08313482254743576), ((3, 0, 5), 0.04794510081410408), ((3, 0, 1), 0.04766615852713585)]",1,"(3, 0, 2)",3-0-2,4-1-3,若松_20250517_6,20.3
11640,"[0, 4, 2]","[((0, 1, 2), 0.11182845383882523), ((0, 2, 1), 0.09462933242321014), ((0, 1, 3), 0.07459940761327744), ((0, 1, 4), 0.06812383979558945), ((0, 3, 1), 0.05651164799928665)]",10,"(0, 4, 2)",0-4-2,1-5-3,若松_20250515_11,29.2
11760,"[0, 2, 4]","[((2, 1, 0), 0.13241495192050934), ((2, 0, 1), 0.13067837059497833), ((1, 2, 0), 0.05901946872472763), ((0, 2, 1), 0.05802937597036362), ((2, 1, 5), 0.04257136955857277)]",18,"(0, 2, 4)",0-2-4,1-3-5,若松_20250421_2,38.6
11880,"[2, 0, 4]","[((0, 2, 4), 0.15066111087799072), ((2, 0, 4), 0.14628581702709198), ((0, 4, 2), 0.10206615179777145), ((2, 4, 0), 0.09483183920383453), ((4, 0, 2), 0.08203701674938202)]",2,"(2, 0, 4)",2-0-4,3-1-5,若松_20250426_2,17.2
12000,"[0, 1, 4]","[((0, 1, 2), 0.10304217040538788), ((1, 0, 2), 0.10094338655471802), ((0, 1, 4), 0.09485599398612976), ((1, 0, 4), 0.09292395412921906), ((0, 1, 5), 0.0906393751502037)]",3,"(0, 1, 4)",0-1-4,1-2-5,若松_20250424_11,8.3
12120,"[1, 2, 3]","[((1, 0, 2), 0.21026958525180817), ((1, 0, 3), 0.10844162106513977), ((0, 1, 2), 0.0968327447772026), ((1, 0, 5), 0.09546902030706406), ((1, 2, 0), 0.07229626178741455)]",18,"(1, 2, 3)",1-2-3,2-3-4,若松_20250518_3,58.8
12240,"[2, 0, 5]","[((5, 4, 2), 0.11366116255521774), ((4, 5, 2), 0.09534476697444916), ((5, 2, 4), 0.08358564972877502), ((2, 5, 4), 0.060678839683532715), ((4, 2, 5), 0.055028412491083145)]",37,"(2, 0, 5)",2-0-5,3-1-6,若松_20250425_7,13.5
12360,"[0, 1, 2]","[((0, 1, 2), 0.3518679141998291), ((1, 0, 2), 0.12376294285058975), ((0, 1, 5), 0.10378150641918182), ((0, 2, 1), 0.09826994687318802), ((0, 1, 3), 0.062395576387643814)]",1,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
12480,"[0, 3, 4]","[((0, 2, 3), 0.2558909058570862), ((2, 0, 3), 0.17703689634799957), ((0, 3, 2), 0.08326469361782074), ((0, 2, 1), 0.054898396134376526), ((0, 2, 5), 0.047782089561223984)]",29,"(0, 3, 4)",0-3-4,1-4-5,若松_20250515_10,18.7
12600,"[4, 0, 5]","[((4, 0, 1), 0.12605150043964386), ((0, 4, 1), 0.1137511134147644), ((4, 1, 0), 0.0996231734752655), ((1, 4, 0), 0.0800963044166565), ((0, 1, 4), 0.07702834159135818)]",7,"(4, 0, 5)",4-0-5,5-1-6,若松_20250424_12,220.5
12720,"[2, 0, 4]","[((2, 0, 1), 0.10389528423547745), ((2, 0, 4), 0.08689253032207489), ((0, 2, 1), 0.08246045559644699), ((0, 2, 4), 0.06896556913852692), ((2, 0, 3), 0.06424235552549362)]",2,"(2, 0, 4)",2-0-4,3-1-5,若松_20250426_2,17.2
12840,"[0, 5, 4]","[((0, 5, 2), 0.13013871014118195), ((0, 5, 4), 0.12279999256134033), ((0, 2, 5), 0.11463332176208496), ((0, 4, 5), 0.10591693967580795), ((0, 2, 4), 0.08219555765390396)]",2,"(0, 5, 4)",0-5-4,1-6-5,若松_20250518_9,15.7
12960,"[4, 0, 3]","[((0, 4, 3), 0.04403895512223244), ((0, 4, 1), 0.042538926005363464), ((4, 0, 3), 0.038306593894958496), ((0, 3, 4), 0.037822477519512177), ((4, 0, 1), 0.03700181469321251)]",3,"(4, 0, 3)",4-0-3,5-1-4,若松_20250519_1,51.9
13080,"[0, 1, 4]","[((0, 1, 2), 0.278319776058197), ((1, 0, 2), 0.18978312611579895), ((0, 1, 5), 0.07256443798542023), ((0, 1, 4), 0.05812718719244003), ((0, 1, 3), 0.05515293776988983)]",4,"(0, 1, 4)",0-1-4,1-2-5,若松_20250424_11,8.3
13200,"[0, 1, 4]","[((0, 1, 4), 0.14978763461112976), ((0, 1, 2), 0.0965958684682846), ((0, 4, 1), 0.08745744079351425), ((0, 1, 3), 0.07028558105230331), ((1, 0, 4), 0.06152306869626045)]",1,"(0, 1, 4)",0-1-4,1-2-5,若松_20250424_11,8.3
13320,"[2, 3, 5]","[((2, 1, 0), 0.04936342313885689), ((1, 2, 0), 0.04719426482915878), ((2, 1, 5), 0.041981346905231476), ((1, 2, 5), 0.04013657942414284), ((2, 0, 1), 0.03684862330555916)]",32,"(2, 3, 5)",2-3-5,3-4-6,若松_20250519_12,78.7
13440,"[5, 0, 2]","[((0, 1, 5), 0.093384750187397), ((0, 5, 1), 0.08280125260353088), ((1, 0, 5), 0.07001909613609314), ((0, 1, 2), 0.060305580496788025), ((5, 0, 1), 0.05872270464897156)]",12,"(5, 0, 2)",5-0-2,6-1-3,若松_20250504_3,41.4
13560,"[0, 5, 3]","[((5, 1, 0), 0.16900572180747986), ((5, 0, 1), 0.12296479940414429), ((5, 1, 2), 0.08694461733102798), ((5, 1, 3), 0.06794321537017822), ((5, 2, 1), 0.053918346762657166)]",26,"(0, 5, 3)",0-5-3,1-6-4,若松_20250421_7,15.1
13680,"[1, 0, 3]","[((0, 2, 1), 0.03253280371427536), ((0, 1, 2), 0.03242988511919975), ((0, 2, 3), 0.03127323091030121), ((0, 1, 3), 0.030927253887057304), ((0, 3, 2), 0.030703481286764145)]",10,"(1, 0, 3)",1-0-3,2-1-4,若松_20250421_10,86.2
13800,"[0, 3, 2]","[((0, 3, 2), 0.24224643409252167), ((0, 2, 3), 0.14587484300136566), ((3, 0, 2), 0.07660262286663055), ((0, 3, 4), 0.06580082327127457), ((0, 3, 1), 0.05567249655723572)]",1,"(0, 3, 2)",0-3-2,1-4-3,若松_20250421_12,26.0
13920,"[1, 2, 5]","[((1, 2, 5), 0.1849014163017273), ((1, 5, 2), 0.17984828352928162), ((1, 2, 3), 0.07918068021535873), ((1, 5, 3), 0.07370974868535995), ((1, 3, 2), 0.057122234255075455)]",1,"(1, 2, 5)",1-2-5,2-3-6,若松_20250519_6,93.6
14040,"[0, 3, 2]","[((0, 3, 2), 0.20738360285758972), ((0, 2, 3), 0.16171228885650635), ((3, 0, 2), 0.06571951508522034), ((0, 3, 1), 0.06401839852333069), ((2, 0, 3), 0.048929765820503235)]",1,"(0, 3, 2)",0-3-2,1-4-3,若松_20250421_12,26.0
14160,"[0, 4, 2]","[((0, 4, 2), 0.05630699172616005), ((0, 2, 4), 0.05387227609753609), ((4, 0, 2), 0.05250818654894829), ((2, 0, 4), 0.048918623477220535), ((4, 2, 0), 0.045333318412303925)]",1,"(0, 4, 2)",0-4-2,1-5-3,若松_20250515_11,29.2
14280,"[0, 3, 4]","[((1, 0, 5), 0.10463888198137283), ((1, 0, 3), 0.09371598064899445), ((1, 5, 0), 0.06772489100694656), ((1, 0, 2), 0.06520908325910568), ((1, 3, 0), 0.05925200134515762)]",81,"(0, 3, 4)",0-3-4,1-4-5,若松_20250515_10,18.7
14400,"[0, 1, 2]","[((1, 0, 2), 0.18806365132331848), ((1, 2, 0), 0.15817800164222717), ((1, 0, 5), 0.062681645154953), ((1, 0, 3), 0.0547901913523674), ((0, 1, 2), 0.04235231131315231)]",5,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
14520,"[1, 4, 2]","[((2, 4, 3), 0.0253607127815485), ((2, 3, 4), 0.025055985897779465), ((4, 2, 3), 0.0246029831469059), ((3, 2, 4), 0.024102963507175446), ((4, 3, 2), 0.02332010678946972)]",37,"(1, 4, 2)",1-4-2,2-5-3,若松_20250515_2,57.5
14640,"[0, 2, 5]","[((2, 0, 1), 0.11365582048892975), ((2, 0, 4), 0.09057185798883438), ((0, 2, 1), 0.07639234513044357), ((2, 0, 3), 0.07612192630767822), ((0, 2, 4), 0.060876745730638504)]",22,"(0, 2, 5)",0-2-5,1-3-6,若松_20250425_4,74.7
14760,"[0, 2, 3]","[((0, 2, 1), 0.15951353311538696), ((0, 1, 2), 0.14489705860614777), ((0, 2, 3), 0.06740031391382217), ((2, 0, 1), 0.05943688377737999), ((1, 0, 2), 0.052810702472925186)]",3,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
14880,"[3, 4, 2]","[((3, 4, 0), 0.20979712903499603), ((3, 0, 4), 0.19486138224601746), ((4, 3, 0), 0.07242725044488907), ((3, 4, 2), 0.06718897819519043), ((0, 3, 4), 0.06627865880727768)]",4,"(3, 4, 2)",3-4-2,4-5-3,若松_20250520_2,29.8
15000,"[0, 1, 3]","[((0, 2, 1), 0.1867096722126007), ((0, 1, 2), 0.11211493611335754), ((2, 0, 1), 0.08861970901489258), ((0, 2, 3), 0.06330392509698868), ((0, 2, 4), 0.047971200197935104)]",16,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
15120,"[0, 2, 3]","[((0, 2, 3), 0.20497749745845795), ((2, 0, 3), 0.1537715494632721), ((0, 2, 5), 0.07656709104776382), ((0, 2, 1), 0.07197387516498566), ((2, 0, 5), 0.05743966996669769)]",1,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
15240,"[0, 1, 4]","[((0, 3, 4), 0.08067342638969421), ((0, 4, 3), 0.07391798496246338), ((0, 3, 2), 0.07041674107313156), ((0, 2, 3), 0.062180373817682266), ((0, 3, 1), 0.06127269193530083)]",10,"(0, 1, 4)",0-1-4,1-2-5,若松_20250424_11,8.3
15360,"[2, 0, 3]","[((0, 2, 3), 0.1446901559829712), ((0, 2, 1), 0.11211889237165451), ((0, 3, 2), 0.0877191498875618), ((0, 1, 2), 0.06425708532333374), ((0, 2, 5), 0.06155874580144882)]",6,"(2, 0, 3)",2-0-3,3-1-4,若松_20250520_6,44.2
15480,"[0, 4, 2]","[((0, 4, 2), 0.14903603494167328), ((4, 0, 2), 0.08930237591266632), ((0, 4, 3), 0.0888671725988388), ((0, 2, 4), 0.06447669863700867), ((0, 4, 1), 0.06106133386492729)]",1,"(0, 4, 2)",0-4-2,1-5-3,若松_20250515_11,29.2
15600,"[1, 3, 2]","[((1, 0, 2), 0.08648163080215454), ((1, 0, 3), 0.08635424077510834), ((1, 2, 0), 0.0857982486486435), ((1, 3, 0), 0.08561728894710541), ((1, 2, 3), 0.08413532376289368)]",6,"(1, 3, 2)",1-3-2,2-4-3,若松_20250520_8,267.2
15720,"[1, 0, 5]","[((5, 1, 0), 0.08014890551567078), ((1, 5, 0), 0.06960069388151169), ((5, 0, 1), 0.0653328225016594), ((0, 5, 1), 0.05096983537077904), ((1, 0, 5), 0.04669097438454628)]",5,"(1, 0, 5)",1-0-5,2-1-6,若松_20250429_8,137.1
15840,"[0, 2, 1]","[((1, 2, 0), 0.0657782256603241), ((2, 1, 0), 0.06461301445960999), ((1, 0, 2), 0.05707832798361778), ((2, 0, 1), 0.05462200194597244), ((0, 1, 2), 0.05150637403130531)]",6,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
15960,"[3, 2, 5]","[((3, 5, 0), 0.09947805851697922), ((3, 0, 5), 0.09914404153823853), ((3, 5, 2), 0.06178778037428856), ((3, 0, 2), 0.06120859086513519), ((5, 3, 0), 0.060495585203170776)]",7,"(3, 2, 5)",3-2-5,4-3-6,若松_20250421_9,87.9
16080,"[5, 2, 0]","[((5, 0, 2), 0.09762115776538849), ((5, 0, 1), 0.08991413563489914), ((0, 5, 2), 0.06550021469593048), ((0, 5, 1), 0.06032908335328102), ((5, 2, 0), 0.05764221400022507)]",5,"(5, 2, 0)",5-2-0,6-3-1,若松_20250425_9,23.0
16200,"[0, 2, 1]","[((0, 2, 1), 0.07003095000982285), ((0, 1, 2), 0.06844766438007355), ((0, 2, 4), 0.04065793752670288), ((0, 2, 3), 0.03864526376128197), ((0, 1, 4), 0.037660032510757446)]",1,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
16320,"[0, 3, 2]","[((0, 2, 1), 0.07930384576320648), ((0, 1, 2), 0.06784345954656601), ((0, 2, 3), 0.06255845725536346), ((2, 0, 1), 0.053484827280044556), ((0, 3, 2), 0.049509383738040924)]",5,"(0, 3, 2)",0-3-2,1-4-3,若松_20250421_12,26.0
16440,"[0, 1, 5]","[((1, 5, 0), 0.043055567890405655), ((1, 5, 2), 0.04240376502275467), ((5, 1, 0), 0.04062506929039955), ((5, 1, 2), 0.04001006484031677), ((1, 5, 4), 0.03570786491036415)]",12,"(0, 1, 5)",0-1-5,1-2-6,若松_20250515_3,78.9
16560,"[0, 2, 5]","[((0, 2, 1), 0.10986441373825073), ((0, 1, 2), 0.09125349670648575), ((0, 2, 5), 0.07519993931055069), ((0, 2, 4), 0.07481151819229126), ((0, 5, 2), 0.056941255927085876)]",3,"(0, 2, 5)",0-2-5,1-3-6,若松_20250425_4,74.7
16680,"[1, 0, 4]","[((0, 3, 1), 0.1900302618741989), ((0, 1, 3), 0.12087874114513397), ((0, 3, 2), 0.09445282071828842), ((0, 3, 4), 0.06576202064752579), ((3, 0, 1), 0.05202191695570946)]",30,"(1, 0, 4)",1-0-4,2-1-5,若松_20250517_2,12.1
16800,"[5, 3, 0]","[((5, 0, 3), 0.23050720989704132), ((5, 3, 0), 0.1132199689745903), ((0, 5, 3), 0.101041279733181), ((5, 0, 1), 0.10041207820177078), ((5, 0, 2), 0.05699605122208595)]",2,"(5, 3, 0)",5-3-0,6-4-1,若松_20250523_6,164.8
16920,"[0, 1, 3]","[((1, 0, 2), 0.12229583412408829), ((0, 1, 2), 0.11077740043401718), ((1, 0, 5), 0.09355265647172928), ((0, 1, 5), 0.08474139869213104), ((1, 2, 0), 0.05581565573811531)]",12,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
17040,"[0, 1, 2]","[((1, 0, 2), 0.24481631815433502), ((0, 1, 2), 0.13756628334522247), ((1, 0, 3), 0.09766232222318649), ((1, 2, 0), 0.09368939697742462), ((0, 1, 3), 0.054878052324056625)]",2,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
17160,"[0, 2, 4]","[((2, 0, 3), 0.22014443576335907), ((0, 2, 3), 0.13574425876140594), ((2, 0, 4), 0.07874306291341782), ((2, 0, 5), 0.07013452053070068), ((2, 3, 0), 0.06419777870178223)]",7,"(0, 2, 4)",0-2-4,1-3-5,若松_20250421_2,38.6
17280,"[0, 1, 2]","[((0, 1, 4), 0.025031523779034615), ((1, 0, 4), 0.02463844045996666), ((0, 4, 1), 0.022367175668478012), ((1, 4, 0), 0.021570540964603424), ((4, 0, 1), 0.020367173478007317)]",9,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
17400,"[2, 5, 0]","[((0, 2, 3), 0.09613814949989319), ((2, 0, 3), 0.08121282607316971), ((0, 3, 2), 0.057170718908309937), ((0, 2, 1), 0.05142302066087723), ((0, 2, 5), 0.04961813613772392)]",16,"(2, 5, 0)",2-5-0,3-6-1,若松_20250524_10,318.7
17520,"[2, 0, 5]","[((2, 0, 5), 0.2395923137664795), ((2, 0, 4), 0.12826550006866455), ((2, 0, 1), 0.12628406286239624), ((2, 0, 3), 0.11033839732408524), ((0, 2, 5), 0.08549316227436066)]",1,"(2, 0, 5)",2-0-5,3-1-6,若松_20250425_7,13.5
17640,"[4, 3, 5]","[((3, 0, 4), 0.04575379565358162), ((0, 3, 4), 0.04376395419239998), ((3, 0, 1), 0.041734494268894196), ((0, 3, 1), 0.039919450879096985), ((3, 4, 0), 0.03970339149236679)]",46,"(4, 3, 5)",4-3-5,5-4-6,若松_20250517_7,311.5
17760,"[3, 2, 0]","[((3, 2, 1), 0.05554811283946037), ((2, 3, 1), 0.04855704307556152), ((3, 1, 2), 0.04715501889586449), ((3, 2, 4), 0.04260680824518204), ((1, 3, 2), 0.03758157044649124)]",15,"(3, 2, 0)",3-2-0,4-3-1,若松_20250515_9,125.5
17880,"[0, 2, 1]","[((0, 3, 2), 0.1853066235780716), ((0, 2, 3), 0.1493130773305893), ((0, 3, 5), 0.08349397778511047), ((0, 3, 1), 0.05554337799549103), ((0, 5, 3), 0.0544685460627079)]",11,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
18000,"[0, 4, 2]","[((0, 2, 5), 0.06687655299901962), ((2, 0, 5), 0.059839095920324326), ((0, 2, 4), 0.057520098984241486), ((0, 2, 1), 0.055336955934762955), ((2, 0, 4), 0.05146722495555878)]",8,"(0, 4, 2)",0-4-2,1-5-3,若松_20250515_11,29.2
18120,"[2, 0, 4]","[((0, 1, 2), 0.09501602500677109), ((1, 0, 2), 0.09316612035036087), ((0, 1, 4), 0.07185148447751999), ((1, 0, 4), 0.07045258581638336), ((0, 2, 1), 0.05085767060518265)]",23,"(2, 0, 4)",2-0-4,3-1-5,若松_20250426_2,17.2
18240,"[2, 5, 0]","[((0, 5, 1), 0.13616453111171722), ((0, 5, 2), 0.11461915075778961), ((5, 0, 1), 0.08667595684528351), ((5, 0, 2), 0.07296117395162582), ((0, 5, 3), 0.0652160495519638)]",15,"(2, 5, 0)",2-5-0,3-6-1,若松_20250524_10,318.7
18360,"[0, 4, 5]","[((0, 2, 4), 0.16542431712150574), ((0, 4, 2), 0.13362185657024384), ((0, 2, 5), 0.0644543394446373), ((2, 0, 4), 0.05592821538448334), ((4, 0, 2), 0.04321705549955368)]",9,"(0, 4, 5)",0-4-5,1-5-6,若松_20250524_7,8.6
18480,"[1, 0, 5]","[((1, 5, 2), 0.148298978805542), ((1, 5, 0), 0.1438227891921997), ((1, 2, 5), 0.10238345712423325), ((1, 0, 5), 0.09838920086622238), ((1, 2, 0), 0.04922444000840187)]",4,"(1, 0, 5)",1-0-5,2-1-6,若松_20250429_8,137.1
18600,"[0, 1, 5]","[((0, 1, 5), 0.1856294721364975), ((0, 5, 1), 0.11559523642063141), ((1, 0, 5), 0.08345935493707657), ((0, 1, 2), 0.0623660683631897), ((0, 1, 4), 0.0517234206199646)]",1,"(0, 1, 5)",0-1-5,1-2-6,若松_20250515_3,78.9
18720,"[1, 0, 2]","[((0, 1, 2), 0.08932365477085114), ((0, 1, 3), 0.08225633203983307), ((0, 2, 1), 0.06997482478618622), ((0, 3, 1), 0.06297901272773743), ((0, 1, 5), 0.042139727622270584)]",6,"(1, 0, 2)",1-0-2,2-1-3,若松_20250424_6,18.5
18840,"[4, 5, 0]","[((0, 3, 5), 0.04368215799331665), ((0, 5, 3), 0.03987710550427437), ((0, 3, 2), 0.032118480652570724), ((0, 3, 1), 0.0320187471807003), ((3, 0, 5), 0.03125794604420662)]",58,"(4, 5, 0)",4-5-0,5-6-1,若松_20250525_10,174.1
18960,"[1, 0, 5]","[((1, 0, 2), 0.27391088008880615), ((1, 0, 5), 0.1252851039171219), ((1, 0, 4), 0.09806299209594727), ((1, 2, 0), 0.09148123860359192), ((0, 1, 2), 0.069402776658535)]",2,"(1, 0, 5)",1-0-5,2-1-6,若松_20250429_8,137.1
19080,"[0, 2, 3]","[((0, 2, 1), 0.1143314391374588), ((0, 1, 2), 0.07949990034103394), ((0, 2, 3), 0.06951329112052917), ((0, 2, 4), 0.06333725899457932), ((0, 2, 5), 0.05983029678463936)]",3,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
19200,"[3, 1, 4]","[((3, 0, 1), 0.2130914181470871), ((3, 1, 0), 0.1365009844303131), ((3, 0, 2), 0.11262254416942596), ((0, 3, 1), 0.06446664780378342), ((3, 2, 0), 0.061894118785858154)]",15,"(3, 1, 4)",3-1-4,4-2-5,若松_20250525_2,157.4
19320,"[0, 4, 1]","[((0, 4, 1), 0.10013960301876068), ((0, 1, 4), 0.08651361614465714), ((0, 4, 3), 0.08115240186452866), ((0, 3, 4), 0.06550899893045425), ((0, 1, 3), 0.05127480626106262)]",1,"(0, 4, 1)",0-4-1,1-5-2,若松_20250429_4,15.2
19440,"[2, 0, 4]","[((0, 2, 5), 0.05539906024932861), ((0, 5, 2), 0.0507240891456604), ((2, 0, 5), 0.049203429371118546), ((5, 0, 2), 0.04280879721045494), ((0, 2, 4), 0.04031777381896973)]",8,"(2, 0, 4)",2-0-4,3-1-5,若松_20250426_2,17.2
19560,"[0, 1, 2]","[((0, 1, 2), 0.09000834822654724), ((0, 2, 1), 0.08074543625116348), ((1, 0, 2), 0.06631632894277573), ((2, 0, 1), 0.05658996105194092), ((0, 1, 3), 0.05518437549471855)]",1,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
19680,"[4, 0, 3]","[((0, 2, 1), 0.02109188213944435), ((0, 1, 2), 0.02108473889529705), ((0, 2, 5), 0.01887460984289646), ((0, 1, 5), 0.018845658749341965), ((0, 5, 2), 0.018323415890336037)]",43,"(4, 0, 3)",4-0-3,5-1-4,若松_20250519_1,51.9
19800,"[0, 2, 5]","[((2, 0, 5), 0.1437603086233139), ((2, 0, 1), 0.10493838787078857), ((0, 2, 5), 0.08535250276327133), ((2, 5, 0), 0.0735928863286972), ((0, 2, 1), 0.06230338290333748)]",3,"(0, 2, 5)",0-2-5,1-3-6,若松_20250425_4,74.7
19920,"[0, 1, 2]","[((0, 1, 2), 0.09337782114744186), ((0, 2, 1), 0.07464800029993057), ((1, 0, 2), 0.0675278902053833), ((2, 0, 1), 0.04888913407921791), ((0, 1, 3), 0.045031528919935226)]",1,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
20040,"[0, 3, 5]","[((0, 2, 3), 0.06720822304487228), ((0, 3, 2), 0.06561534851789474), ((0, 2, 1), 0.047669801861047745), ((0, 3, 1), 0.04376042261719704), ((0, 1, 2), 0.04198560491204262)]",8,"(0, 3, 5)",0-3-5,1-4-6,若松_20250424_7,49.6
20160,"[0, 2, 4]","[((0, 2, 1), 0.14281006157398224), ((0, 2, 4), 0.11981100589036942), ((0, 2, 5), 0.10707661509513855), ((0, 2, 3), 0.09429097175598145), ((0, 1, 2), 0.06429354101419449)]",2,"(0, 2, 4)",0-2-4,1-3-5,若松_20250421_2,38.6
20280,"[0, 4, 3]","[((0, 5, 2), 0.0445096530020237), ((0, 5, 4), 0.04336925968527794), ((0, 2, 5), 0.03762226924300194), ((0, 4, 5), 0.03638909012079239), ((5, 0, 2), 0.03518553823232651)]",56,"(0, 4, 3)",0-4-3,1-5-4,若松_20250424_9,10.4
20400,"[2, 1, 0]","[((0, 2, 4), 0.14144282042980194), ((0, 2, 1), 0.12031209468841553), ((0, 4, 2), 0.09594282507896423), ((0, 1, 2), 0.0778585895895958), ((2, 0, 4), 0.06792476028203964)]",17,"(2, 1, 0)",2-1-0,3-2-1,若松_20250526_11,63.4
20520,"[0, 5, 2]","[((5, 0, 2), 0.0982956513762474), ((0, 5, 2), 0.09393303841352463), ((5, 0, 1), 0.08750796318054199), ((0, 5, 1), 0.08362413197755814), ((5, 2, 0), 0.055223241448402405)]",2,"(0, 5, 2)",0-5-2,1-6-3,若松_20250526_12,27.6
20640,"[0, 5, 1]","[((0, 1, 5), 0.15437592566013336), ((0, 5, 1), 0.13585904240608215), ((1, 0, 5), 0.0793994814157486), ((5, 0, 1), 0.06719312071800232), ((0, 1, 3), 0.041995078325271606)]",2,"(0, 5, 1)",0-5-1,1-6-2,若松_20250526_2,13.8
20760,"[1, 0, 5]","[((1, 0, 2), 0.055235374718904495), ((0, 1, 2), 0.05441875010728836), ((1, 2, 0), 0.04719118773937225), ((0, 2, 1), 0.04552916809916496), ((2, 1, 0), 0.04220322519540787)]",7,"(1, 0, 5)",1-0-5,2-1-6,若松_20250429_8,137.1
20880,"[3, 0, 4]","[((0, 3, 2), 0.09074503183364868), ((3, 0, 2), 0.07941337674856186), ((0, 3, 1), 0.06635823100805283), ((3, 0, 1), 0.05807184800505638), ((0, 3, 4), 0.05392124876379967)]",7,"(3, 0, 4)",3-0-4,4-1-5,若松_20250429_10,76.5
21000,"[1, 0, 3]","[((1, 2, 0), 0.15405896306037903), ((1, 0, 2), 0.14747078716754913), ((2, 1, 0), 0.10184891521930695), ((0, 1, 2), 0.0958947092294693), ((2, 0, 1), 0.05215555801987648)]",8,"(1, 0, 3)",1-0-3,2-1-4,若松_20250421_10,86.2
21120,"[3, 0, 1]","[((3, 0, 1), 0.11592485010623932), ((0, 3, 1), 0.09539647400379181), ((3, 1, 0), 0.08804597705602646), ((1, 3, 0), 0.06376134604215622), ((0, 1, 3), 0.055209241807460785)]",1,"(3, 0, 1)",3-0-1,4-1-2,若松_20250526_6,127.8
21240,"[0, 5, 1]","[((0, 5, 1), 0.28801819682121277), ((5, 0, 1), 0.17665942013263702), ((0, 5, 2), 0.10712343454360962), ((0, 1, 5), 0.06802978366613388), ((5, 0, 2), 0.06570544838905334)]",1,"(0, 5, 1)",0-5-1,1-6-2,若松_20250526_2,13.8
21360,"[0, 2, 3]","[((0, 3, 2), 0.1952541619539261), ((0, 2, 3), 0.1317506581544876), ((0, 3, 1), 0.07313407957553864), ((3, 0, 2), 0.06973684579133987), ((0, 3, 4), 0.04830867424607277)]",2,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
21480,"[0, 3, 4]","[((0, 2, 3), 0.07033713161945343), ((0, 3, 2), 0.06680206209421158), ((0, 2, 1), 0.0637359693646431), ((0, 1, 2), 0.05868769809603691), ((0, 3, 1), 0.0526353120803833)]",8,"(0, 3, 4)",0-3-4,1-4-5,若松_20250515_10,18.7
