登番,名前,読み,性別,養成期,25後期,25前期,24後期,24前期,23後期,23前期,22後期,22前期,21後期,21前期,20後期,20前期,19後期,19前期,18後期,18前期,17後期,17前期,16後期,16前期,15後期,15前期,14後期,14前期,13後期,13前期,12後期,12前期,11後期,11前期,10後期,10前期,09後期,09前期,08後期,08前期,07後期,07前期,06後期,06前期,05後期,05前期,04後期,04前期,03後期,03前期,02後期,02前期,01後期,01前期,00後期
3246,星野政彦,ホシノ　マサヒコ　,1,58,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,A2,B1,B1,A2,A2,A2,A2,A2,B1,A2,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3247,大島聖子,オオシマ　セイコ,2,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,A1,A1,A1,A1,A1,A1
3249,金平久美子,カネヒラ　クミコ,2,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B2
3251,平石和男,ヒライシ　カズオ,1,58,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3253,岩原かほ美,イワハラ　カホミ,2,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B2,B2,B2,B2
3254,柳澤千春,ヤナギサワ　チハル　,2,58,,,,,,,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,A2,B1,B1,B1,A2,A1,A2,A2,A2,A2,A2
3256,三角哲男,ミスミ　テツオ,1,58,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3257,田頭実,タドウ　ミノル　,1,58,B1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A2,B2,B2,A1,A1,A1,B1,A1,A2,A1,A1,A1,A2,A1,A1,A1,A1,A1,A2,A1,A2,A2,A2,A2,A1,A1,A1,A1,B2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3258,藤家妙子,フジイエ　タエコ,2,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B1,B1,B2,B2,B2,A2,B1,B1,A2,A2,A1,A2,A2,B1,B2,B2
3259,宮井良昌,ミヤイ　ヨシマサ,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B1,B1,B1,B2,B1,B2,B2,B1,B1,B1,B1
3261,大川茂実,オオカワ　シゲミ,1,59,,,,,,B1,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A1,A2,A2,A1,A2,A2,A1,A2,A1,A2,A2,A1,A2,A1,A1
3262,森岡正博,モリオカ　マサヒロ,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2,B2,B1,B2,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
3263,松本浩一,マツモト　コウイチ,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B1,B2,B1,B2,B1,B2,B1,B2,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B2,B1,B2,B1
3264,吉本稔,ヨシモト　ミノル,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
3265,今村暢孝,イマムラ　ノブタカ　,1,59,A1,A2,A1,A2,A1,A1,A2,A1,A1,A1,A1,,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3266,横山武志,ヨコヤマ　タケシ,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B1
3267,宮武準,ミヤタケ　ジユン,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,A2,B1,B1,A2,A1,A1,A2,A2,A1,B1,B1
3268,森竜也,モリ　タツヤ　,1,59,B1,B2,B1,B1,A2,B1,A2,B1,A2,A2,A2,A2,A1,A1,A2,A2,A1,A2,A2,A2,B1,A2,A1,A2,A2,A2,A2,B1,A2,A1,A1,A2,A1,A2,A2,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3269,柴田明宏,シバタ　アキヒロ,1,59,,,,,,,,,,,,,,,,,,B1,B2,B1,B2,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B2,B2,A1,A2,A1,A1,A2,A1,A1,A2,A1,A2,A1
3271,崎野俊樹,サキノ　トシキ,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,A2,B1,A2,A2,A2,A2,B1,A2,A1,A1,A1,A2,A1,A2,A1,A2,A2,A1
3273,石田豪,イシダ　ツヨシ　,1,59,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,A2,B1,B1,A2,A2,A2,A2,A2,A2,A1,A2,A1,A1,A1,A2,A1,A2,A2,A1,A1,A1
3275,吉村直博,ヨシムラ　ナオヒロ,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,A2
3276,鈴木貴司,スズキ　タカシ　,1,59,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2
3277,齋藤勇,サイトウ　イサム　,1,59,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,A2,A2,B1,A1,A1,A1,A2,A1,A1,A1,A1,A1
3278,山田豊,ヤマダ　ユタカ　,1,59,,,,,,,,,,,,,,,A1,A2,A1,A2,A2,A1,A2,A2,A1,A1,A1,A1,A1,A2,A2,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3279,石川俊成,イシカワ　トシナリ,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
3280,垣内清美,カキウチ　キヨミ　,2,59,,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,A2,A2,A2,B1,B1,A2,A2,A2,A2,A2,A2,B1,A1,A2,A1,A2,A2,A2,A2,A2,B1,A2,A2,B1,B1,B2,B2,A1,A1,A1,A2,A2,A2
3281,塚本太二郎,ツカモト　タイジロウ,1,59,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
3282,池本輝明,イケモト　テルアキ,1,59,B1,B1,B1,B1,B1,A2,B1,B1,A2,B1,B1,A2,A2,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A1,A1,A2,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A2,A1,A1,A1,A2,A1
3283,窪田好弘,クボタ　ヨシヒロ,1,59,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,A2,A2,A2,A2,A2,A2,A2,B1,A2,A2,A2,A2,A2,A2,A1,B1,A1,A1,A1,A2,A1,A1,A1,A2,A2,A1,A1,A1
3284,渡邊伸太郎,ワタナベ　シンタロウ,1,59,B1,B1,B1,B1,B1,A2,A2,A2,A2,A1,A1,A1,A1,A1,A1,A1,A2,A1,A2,A1,A2,A2,A1,A2,A1,A2,A1,A2,A2,A1,A2,A1,A2,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A2,A1,A2,A1,A1
3285,植木通彦,ウエキ　ミチヒコ,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3286,坂東満,バンドウ　ミツル　,1,59,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,A2,A2,A2,A2,A2,A2,B1,B1,A2,A2,A2,A2,A2,A2,A2,B1,A2,A2,A2,A2,A1,A2,A2,A2,A2,A1,A1,A1,A1,A1,A1
3287,多田芳徳,タダ　ヨシノリ,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
3289,高橋淳美,タカハシ　アツミ　,2,60,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,A2,A2,A2,A2,B1,B1,A2,B1,A2,A2,A2,A2,A1,A2,B1,A2,B1,A2,B1,A2,B1,B1,A2,B2,B1,A2,A2,A2,A2,A2,A1,A2,A2,A1,B1,A2,A1,A1
3290,倉谷和信,クラタニ　カズノブ,1,60,,B1,B1,A2,B1,B1,A2,A2,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3291,河原順一,カワハラ　ジユンイチ,1,60,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
3293,宮内由紀英,ミヤウチ　ユキヒデ　,1,60,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A1,A2,A2,B1
3294,野中義生,ノナカ　ヨシオ,1,60,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,A2,A2,B1,A2,B1,B1,A2,B1,B1,A2,A2,A2,A2,A2,A2,A2,A2
3295,濱村芳宏,ハマムラ　ヨシヒロ,1,60,,,,,,B1,B1,B1,B1,B1,,B2,A2,A2,A2,A2,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3296,高柳成聡,タカヤナギ　ナルアキ,1,60,,,,,,,,,,B1,B2,B1,B1,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,A2,A2,B1,B1,B1,B1,A2,B1,B1
3297,藤丸光一,フジマル　コウイチ　,1,60,B1,B1,B1,B1,A2,A2,A2,A2,A2,A2,A2,A2,A1,A2,A2,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3298,定野久恵,サダノ　ヒサエ　,2,60,,,,,,,,,,,,B1,B2,B2,B2,B2,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,B1,B1,B1,A2,B1,B1,B1,A2,A2,B1,A2,B1,A2,A2,A2,B1,B1,A2,A2,A2,A2
3299,東郷晴美,トウゴウ　ハルミ,2,60,,,,,,,,,,,,,,,,,B2,B1,B2,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,A2,B1
3300,川崎智幸,カワサキ　トモユキ,1,60,A2,A2,A2,A1,A1,A2,A2,A1,A1,A1,A2,A1,A1,A1,A1,A2,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3302,谷川里江,タニカワ　リエ,2,60,B1,B1,B1,B1,A2,B1,A1,A2,A2,A2,A2,A2,A2,A2,A2,A1,A2,A2,A1,A1,A1,A1,A2,A2,A2,A2,A2,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1
3303,渡辺豊,ワタナベ　ユタカ,1,60,A2,A2,A2,A1,A2,A2,A2,A2,A2,B1,A2,B1,A2,B1,A2,A2,A2,A2,A2,A2,A2,B1,B1,B1,B1,A2,A2,B1,A2,A2,A2,A2,A2,A2,A2,B1,A2,B1,B1,A2,A2,A2,A2,B1,A2,A2,A2,B1,B1,A2,A1
3304,烏野賢太,ウノ　ケンタ　,1,60,A1,B1,A1,A2,A2,A2,A2,A2,A1,A1,A2,A2,A1,A1,A1,A2,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3305,小野信樹,オノ　ノブキ,1,60,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3306,武田正紀,タケダ　マサノリ,1,60,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,B1,A2,A2,B1,B1,B1,B1,B1,B1,B1
3307,上瀧和則,ジヨウタキ　カズノリ　,1,60,,,A2,A2,A2,B1,A1,A2,A2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3308,大城戸学,オオキド　マナブ,1,61,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
3309,大塚信行,オオツカ　ノブユキ　,1,61,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,A2,A2,A2,B1,A2,A2,A2,A2,A2,A2
3310,金澤一洋,カナザワ　カズヒロ,1,61,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
3311,大釜謙一郎,オオガマ　ケンイチロウ,1,61,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
3312,新美進司,ニイミ　シンジ,1,61,,,,,,,,,,,,,,,,,,A2,A2,A1,A2,A2,A2,A2,A2,A2,A2,A1,A2,A2,A2,A1,A2,A1,A1,A1,A2,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3313,本吉正樹,モトヨシ　マサジ,1,61,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,A2,B1,A2,B1,A2,B1,B1,B1,A2,B1,A2,A2,B1,A2,A2,B1,A2,A1,A1,A1,A2,A2,A2,A2,A1,A1
3314,仲野卓巳,ナカノ　タクミ,1,61,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1
3315,広瀬聖仁,ヒロセ　マサヒト　,1,61,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,A2,B1,A2,B1,B1,B1,B1,B1,A2,B1,B1,A2,A2,A2,B1,B1,A2,A2,A2,B1,B1,B1,B1,A2,A2,B2,B1,B1,A2,A2,B1,A1,A1,A2,A2,A2,A2
3317,大山博美,オオヤマ　ヒロミ　,2,61,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,A2,A2,A2,A2,B1,A2,A2,A2,A1,A1,A2,A2,A2,A1,A2,A2
3318,池浦千登志,イケウラ　チトシ,1,61,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
3319,山崎義明,ヤマザキ　ヨシアキ　,1,61,B1,A2,A2,A2,A2,A2,A1,A2,A2,A1,A1,A1,A1,A2,A1,A1,A1,A2,A2,A2,A2,A1,A2,A1,A2,A2,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3320,中世古充,ナカセコ　ミツル,1,61,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1
3322,山口浩司,ヤマグチ　コウジ,1,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B2,A2,A2,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3324,登みつよ,ノボリ　ミツヨ,2,61,,,,,,,,,,,,,,,,,,B1,B2,B2,B2,B2,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2
3325,福本忠治,フクモト　タダハル　,1,61,,,,,,,,,,,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1
3326,生方厚成,ウブカタ　アツナリ,1,61,,,,,,,,,,,,,,,,,A1,A1,A2,A1,A2,A1,A2,B1,A2,A2,A2,B1,B1,B1,B1,A2,B1,A2,A1,A2,A2,A1,A1,A2,A1,A2,A2,A2,A1,A1,A2,A2,A2,A1,A1
3327,野長瀬正孝,ノナガセ　マサタカ　,1,61,A1,A2,A2,A2,A2,A2,B1,A2,A2,A2,A1,A2,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3328,糸數由里,イトカズ　ユリ,2,61,,,,,,,,,,,,,,,,,,B1,B2,B1,B1,B2,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B2,B1,B2,B2,B2,B1,B1
3329,作野恒,サクノ　ヒサシ,1,61,,,,,,,,,,,,,,,,A1,A1,A1,A1,A1,A2,A1,A2,B1,A2,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2
3331,新美恵一,ニイミ　ケイイチ　,1,61,,,,,A2,A1,A2,A2,A2,A1,A2,A1,A2,A1,A1,A1,A2,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3333,丸尾義孝,マルオ　ヨシタカ　,1,61,A2,A2,A2,A1,A2,A2,A1,A2,A1,A1,A1,A1,A1,A2,A2,A2,A2,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3334,角ひとみ,スミ　ヒトミ　,2,61,B1,B1,B1,B1,B1,A2,B1,A2,B1,A2,A2,A2,B1,A2,A2,A2,A2,A2,B1,A2,A2,B1,B2,A2,B1,A1,A2,A1,A1,A2,A1,A2,A1,A2,A1,A2,A1,A1,A2,A1,A2,A2,A1,A1,A1,A1,A1,A1,A2,A1,A2
3335,小菅文隆,コスガ　フミタカ,1,61,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,A2,B1,A2,B1,B1,A2,A2,A2,A2,A2,A1,A2,A2,A1,A1,A1,A1
3336,遠藤晃司,エンドウ　コウジ　,1,62,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,A1,A2,A1,B1,A2,A2,A1,A2,A2,A1,A2,A2,A1,A2,A1,A1,A1,A1,A2,A1,A1
3338,出本正博,デモト　マサヒロ,1,62,,,B1,B2,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B2,B1,B1,B1,A2,B1,B1,B1,A2,A2,A2,A2,A2,B1,A2,A1,A1,A2,B2
3339,泉具巳,イズミ　トモミ　,1,62,B1,B1,B1,A2,B1,B1,B2,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,A2,B1,A2,A2,A2,A2,B1,B1,A2,B1,B1,A2,A2,A2,A2,A2,A2,A2,B1,A2,A2,A2,A2,A2,A2,B1,B1,B1,B1
3340,池田雷太,イケダ　ライタ　,1,62,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,A2,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,A2,A2,A2,B1,B2,A2,A2,A2,B1
3341,國井隆,クニイ　タカシ,1,62,,,,,,,,,,,,,,,,,,,,,,,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
3342,藤井勝巳,フジイ　カツミ,1,62,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
3343,齊藤寛人,サイトウ　ヒロト　,1,62,,,,,,,,,,,,,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A1,A2,A2,A2,A2,A1,A1,A2,A1,A1,A2,A1,A1,B1,A1,A1,A1,A1,A1,A2,A2,A1,A2,A1,A2,A1,A1
3344,中島浩喜,ナカシマ　ヒロキ　,1,62,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,B1,A2,A2,A2,A2,A2,A2,B1,B1,B1,A2,A2,A2,A2
3346,宮本裕之,ミヤモト　ヒロユキ,1,62,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,B1,B1,B1,B1,A2,A2,B1,A2,A2,B1,A2,A2,A2,A2,B1,A2,A2,A2,A2,B1,A2,A2,A2,A2,A2,A1,A2,A1,A1,A2,A2,B1,B1,A2,B1,A1,A1,A1,A1
3347,矢後剛,ヤゴ　タケシ,1,62,,B1,B1,B1,A2,B1,A2,B1,A2,A2,A1,A2,A1,A2,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
3349,吉田一郎,ヨシダ　イチロウ,1,62,A2,A2,A1,B1,A2,A1,A2,A1,A1,A1,A2,A1,A2,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,B2,A1,A1,A1,A1,A1,A1,A1,A1,A1
3350,藤本佳史,フジモト　ヨシフミ　,1,62,B1,A2,B1,A2,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2,B1,A2,B1,B1,B1,B1,A2,A1,A2,A1,A2,A1,A1,A1,A2,A2,A2,A2,B1,B1,B1,A2,A2,B1,A2,A2,A1,A2,A2,A1,A1,A1,A2,A2,A2,B1,A2
3352,小川晃司,オガワ　コウジ,1,62,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,A2,A2,B1,B1,B1,B1,A2,A2,A2,A2,A2,A2,A1,A1,A2,A2,A2,A1,A1,A1,A1,A1,A2,A1,A1,A2,A1
3353,前田光昭,マエダ　ミツアキ,1,62,B2,B2,B1,B1,B1,B1,B2,B1,B2,B1,B1,A2,B1,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2,B1,B2,B1,A2,A2,A2,A2,A2,B1,B1,B2,A2,A1,A1,A2,A2,A1,A1,A2,A2,A1,A1,A1,A1,A1,A1,A1,A1
